sample_id,track_id,first_frame,last_frame,observation_count,contact_sheet,class_label,fine_label,ignore,review_status,annotator,notes
multidomain_education_classroom_60s,63,491,1011,478,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000063.jpg,,,false,draft,,
multidomain_education_classroom_60s,58,484,975,378,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000058.jpg,,,false,draft,,
multidomain_education_classroom_60s,115,1371,1682,303,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000115.jpg,,,false,draft,,
multidomain_education_classroom_60s,114,1363,1659,289,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000114.jpg,,,false,draft,,
multidomain_education_classroom_60s,76,636,1012,288,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000076.jpg,,,false,draft,,
multidomain_education_classroom_60s,2,3,262,260,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000002.jpg,,,false,draft,,
multidomain_education_classroom_60s,4,3,262,253,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000004.jpg,,,false,draft,,
multidomain_education_classroom_60s,69,577,904,244,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000069.jpg,,,false,draft,,
multidomain_education_classroom_60s,1,3,240,227,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000001.jpg,,,false,draft,,
multidomain_education_classroom_60s,118,1417,1672,220,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000118.jpg,,,false,draft,,
multidomain_education_classroom_60s,81,752,1012,216,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000081.jpg,,,false,draft,,
multidomain_education_classroom_60s,66,519,1012,210,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000066.jpg,,,false,draft,,
multidomain_education_classroom_60s,82,769,976,168,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000082.jpg,,,false,draft,,
multidomain_education_classroom_60s,57,483,711,161,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000057.jpg,,,false,draft,,
multidomain_education_classroom_60s,61,489,731,150,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000061.jpg,,,false,draft,,
multidomain_education_classroom_60s,96,1126,1278,149,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000096.jpg,,,false,draft,,
multidomain_education_classroom_60s,94,1115,1273,132,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000094.jpg,,,false,draft,,
multidomain_education_classroom_60s,3,3,135,131,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000003.jpg,,,false,draft,,
multidomain_education_classroom_60s,120,1445,1582,130,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000120.jpg,,,false,draft,,
multidomain_education_classroom_60s,130,1671,1798,128,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000130.jpg,,,false,draft,,
multidomain_education_classroom_60s,132,1683,1800,116,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000132.jpg,,,false,draft,,
multidomain_education_classroom_60s,60,487,643,109,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000060.jpg,,,false,draft,,
multidomain_education_classroom_60s,7,4,109,106,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000007.jpg,,,false,draft,,
multidomain_education_classroom_60s,27,275,417,105,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000027.jpg,,,false,draft,,
multidomain_education_classroom_60s,95,1119,1278,103,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000095.jpg,,,false,draft,,
multidomain_education_classroom_60s,31,306,435,102,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000031.jpg,,,false,draft,,
multidomain_education_classroom_60s,111,1338,1500,100,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000111.jpg,,,false,draft,,
multidomain_education_classroom_60s,33,314,409,94,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_education_classroom_60s\contact_sheets\track_000033.jpg,,,false,draft,,
