sample_id,track_id,first_frame,last_frame,observation_count,contact_sheet,class_label,fine_label,ignore,review_status,annotator,notes
multidomain_medical_cells_31s,2,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000002.jpg,,,false,draft,,
multidomain_medical_cells_31s,3,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000003.jpg,,,false,draft,,
multidomain_medical_cells_31s,5,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000005.jpg,,,false,draft,,
multidomain_medical_cells_31s,6,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000006.jpg,,,false,draft,,
multidomain_medical_cells_31s,7,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000007.jpg,,,false,draft,,
multidomain_medical_cells_31s,12,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000012.jpg,,,false,draft,,
multidomain_medical_cells_31s,13,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000013.jpg,,,false,draft,,
multidomain_medical_cells_31s,14,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000014.jpg,,,false,draft,,
multidomain_medical_cells_31s,16,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000016.jpg,,,false,draft,,
multidomain_medical_cells_31s,17,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000017.jpg,,,false,draft,,
multidomain_medical_cells_31s,18,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000018.jpg,,,false,draft,,
multidomain_medical_cells_31s,20,3,92,90,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_medical_cells_31s\contact_sheets\track_000020.jpg,,,false,draft,,
