sample_id,track_id,first_frame,last_frame,observation_count,contact_sheet,class_label,fine_label,ignore,review_status,annotator,notes
multidomain_wildlife_black_noddies_38s,1,3,622,584,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000001.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,3,3,651,549,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000003.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,8,7,515,474,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000008.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,6,5,596,412,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000006.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,14,283,655,320,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000014.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,16,335,652,314,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000016.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,5,3,315,298,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000005.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,2,3,325,296,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000002.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,7,5,322,262,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000007.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,19,336,680,262,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000019.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,27,616,850,215,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000027.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,4,3,284,205,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000004.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,22,479,833,192,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000022.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,17,336,624,170,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000017.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,20,374,569,165,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000020.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,18,336,495,147,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000018.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,30,655,798,128,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000030.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,23,514,674,109,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000023.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,24,515,614,91,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000024.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,29,625,679,53,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000029.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,9,41,171,41,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000009.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,28,621,781,38,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000028.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,11,75,111,32,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000011.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,13,179,255,32,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000013.jpg,,,false,draft,,
multidomain_wildlife_black_noddies_38s,15,283,312,30,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_wildlife_black_noddies_38s\contact_sheets\track_000015.jpg,,,false,draft,,
